RA,Nome,Fase,Turma,Ano_Nascimento,Idade,Gênero,Ano_Ingresso,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Pedra,Defas,Ponto_de_Virada,Matem,Portug,Inglês,Pedra_Calculada,Gap_IAA_IDA,Media_Academica,RISCO,Faixa_Etaria,Tempo_Programa
RA-1,Aluno-1,7,A,2003,19,Menina,2016,8.3,4.1,5.6,4.0,7.278,5.0,5.783,Quartzo,-1,0,2.7,3.5,6.0,Ágata,4.300000000000001,4.05,1,Jovem (15+),6
RA-2,Aluno-2,7,A,2005,17,Menina,2017,8.8,5.2,6.3,6.8,6.778,10.0,7.055,Ametista,0,0,6.3,4.5,9.7,Ametista,2.000000000000001,6.0,0,Jovem (15+),5
RA-3,Aluno-3,7,A,2005,17,Menina,2016,0.0,7.9,5.6,5.6,7.556,10.0,6.591,Ágata,0,0,5.8,4.0,6.9,Ágata,-5.6,6.75,0,Jovem (15+),6
RA-4,Aluno-4,7,A,2005,17,Menino,2017,8.8,4.5,5.6,5.0,5.278,10.0,5.951,Quartzo,0,0,2.8,3.5,8.7,Ágata,3.8000000000000007,4.75,0,Jovem (15+),5
RA-5,Aluno-5,7,A,2005,17,Menina,2016,7.9,8.6,5.6,5.2,7.389,10.0,7.427,Ametista,0,0,7.0,2.9,5.7,Ametista,2.7,6.9,0,Jovem (15+),6
RA-6,Aluno-6,7,A,2004,18,Menina,2021,7.9,4.5,7.5,3.3,7.222,5.0,5.848,Quartzo,-1,0,2.3,5.3,2.3,Ágata,4.6000000000000005,3.9,1,Jovem (15+),1
RA-7,Aluno-7,7,A,2004,18,Menino,2017,0.0,8.4,7.5,7.6,7.667,5.0,6.818,Ágata,-1,0,8.2,5.7,9.0,Ágata,-7.6,8.0,0,Jovem (15+),5
RA-8,Aluno-8,7,A,2002,20,Menina,2018,7.1,4.6,6.3,1.6,6.278,5.0,4.786,Quartzo,-1,0,1.2,0.7,2.9,Quartzo,5.5,3.0999999999999996,1,Jovem (15+),4
RA-9,Aluno-9,7,A,2004,18,Menina,2019,8.8,9.5,7.5,6.7,9.5,5.0,8.109,Topázio,-1,1,5.5,6.0,8.7,Ametista,2.1000000000000005,8.1,0,Jovem (15+),3
RA-10,Aluno-10,7,A,2004,18,Menina,2021,8.3,5.2,5.0,4.1,7.056,5.0,5.784,Quartzo,-1,0,3.3,2.6,6.4,Ágata,4.200000000000001,4.65,1,Jovem (15+),1
RA-11,Aluno-11,7,A,2004,18,Menina,2016,9.2,4.2,5.0,3.0,6.389,5.0,5.323,Quartzo,-1,0,1.8,2.5,4.5,Quartzo,6.199999999999999,3.6,1,Jovem (15+),6
RA-12,Aluno-12,7,A,2005,17,Menina,2020,0.0,4.0,6.9,1.5,6.389,10.0,4.832,Quartzo,0,0,2.7,1.1,0.7,Quartzo,-1.5,2.75,1,Jovem (15+),2
RA-13,Aluno-13,7,A,2004,18,Menino,2016,7.9,7.4,7.5,4.7,8.056,5.0,6.902,Ágata,-1,0,3.5,5.5,5.2,Ametista,3.2,6.050000000000001,1,Jovem (15+),6
RA-14,Aluno-14,7,D,2001,21,Menino,2022,7.9,8.3,7.5,4.0,7.75,5.0,6.793,Ágata,-1,0,8.0,0.0,,Ágata,3.9000000000000004,6.15,1,Jovem (15+),0
RA-15,Aluno-15,7,D,2004,18,Menino,2022,8.8,10.0,7.5,7.3,7.292,5.0,7.783,Ametista,-1,0,8.0,6.5,,Ametista,1.5000000000000009,8.65,0,Jovem (15+),0
RA-16,Aluno-16,7,D,2003,19,Menino,2022,7.9,8.3,5.0,3.5,6.333,5.0,6.112,Ágata,-1,0,7.0,0.0,,Ágata,4.4,5.9,1,Jovem (15+),0
RA-17,Aluno-17,7,D,2002,20,Menino,2022,8.8,10.0,7.5,7.8,8.292,5.0,8.068,Topázio,-1,0,9.0,6.5,,Ametista,1.0000000000000009,8.9,0,Jovem (15+),0
RA-18,Aluno-18,7,D,2003,19,Menino,2022,6.3,8.7,6.3,9.0,6.875,5.0,7.226,Ametista,-1,0,9.0,9.0,,Ametista,-2.7,8.85,0,Jovem (15+),0
RA-19,Aluno-19,7,D,2003,19,Menina,2022,7.9,9.5,7.5,8.0,7.0,5.0,7.665,Ametista,-1,0,7.0,9.0,,Ametista,-0.09999999999999964,8.75,0,Jovem (15+),0
RA-20,Aluno-20,7,D,2003,19,Menina,2022,7.1,10.0,6.3,7.8,7.167,5.0,7.535,Ametista,-1,0,9.0,6.5,,Ametista,-0.7000000000000002,8.9,0,Jovem (15+),0
RA-21,Aluno-21,7,D,2004,18,Menino,2022,9.6,9.2,7.5,3.8,7.25,5.0,6.945,Ágata,-1,0,7.0,0.5,,Ametista,5.8,6.5,1,Jovem (15+),0
RA-22,Aluno-22,6,A,2005,17,Menina,2019,8.3,7.4,8.1,6.7,8.833,5.0,7.474,Ametista,-1,1,9.0,3.1,7.8,Ametista,1.6000000000000005,7.050000000000001,0,Jovem (15+),3
RA-23,Aluno-23,6,A,2005,17,Menino,2021,8.3,8.2,8.1,6.7,8.556,5.0,7.677,Ametista,-1,1,7.2,4.7,8.2,Ametista,1.6000000000000005,7.449999999999999,0,Jovem (15+),1
RA-24,Aluno-24,6,A,2005,17,Menina,2021,9.2,7.9,6.9,8.6,9.111,5.0,8.087,Topázio,-1,1,10.0,6.3,9.7,Ametista,0.5999999999999996,8.25,0,Jovem (15+),1
RA-25,Aluno-25,6,A,2005,17,Menina,2021,8.3,8.3,8.8,6.9,9.667,5.0,7.979,Ametista,-1,1,9.2,3.8,7.7,Ametista,1.4000000000000004,7.6000000000000005,0,Jovem (15+),1
RA-26,Aluno-26,6,A,2005,17,Menino,2022,9.6,8.8,10.0,8.0,10.0,5.0,8.677,Topázio,-1,1,9.5,4.4,10.0,Topázio,1.5999999999999996,8.4,0,Jovem (15+),0
